Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Started in,Number of Presenters,Male Presenters,Female Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Deal,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present
1,JhaJiAchaar,4,11,20-Dec-21,04-Feb-22,23-Dec-21,Entrepreneurship Ki Wave,Rannvijay Singh,Food,Pickle,2021,2,0,2,0,Old,Darbhanga,Bihar,0,5,18,0,0,no,0,no,funded,50,10,500,Yes,Yes,56.6,5.62,0,0,1007,2,no,No,0,28.3,2.81,0,28.3,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
1,Bummer,4,12,20-Dec-21,04-Feb-22,23-Dec-21,Entrepreneurship Ki Wave,Rannvijay Singh,Beauty/Fashion,Underwear,2020,1,1,0,0,Young,Ahmedabad,Gujarat,36,15,70,0,0,no,0,no,funded,75,4,1875,Yes,Yes,75,7.5,0,0,1000,2,no,No,0,37.5,3.75,0,0,0,0,0,0,0,37.5,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
1,RevampMoto,5,13,20-Dec-21,04-Feb-22,24-Dec-21,Hunt For Interesting Business,Rannvijay Singh,Vehicles/Electrical Vehicles,E-Bike Mitra bud-e RM,2021,3,3,0,0,Young,Nashik,Maharashtra,0,0.01,0,0,0,no,0,no,funded,100,1,10000,Yes,Yes,100,1.5,0,0,6667,2,no,No,0,0,0,0,0,0,0,50,0.75,0,50,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
1,HungryHead,5,14,20-Dec-21,04-Feb-22,24-Dec-21,Hunt For Interesting Business,Rannvijay Singh,Food,Restaurant serving 80 types of Maggi,2013,2,2,0,0,Middle,Mumbai,Maharashtra,0,5.5,0,0,0,no,80,no,funded,50,5,1000,No,No,0,0,0,0,0,0,no,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
1,ShrawaniEngineers,5,15,20-Dec-21,04-Feb-22,24-Dec-21,Hunt For Interesting Business,Rannvijay Singh,Beauty/Fashion,Belly Button Shaper,2019,2,1,1,1,Middle,Nagpur,Maharashtra,50,0,0,0,0,no,0,no,funded,20,10,200,No,No,0,0,0,0,0,0,no,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
1,SkippiIcePops,6,16,20-Dec-21,04-Feb-22,27-Dec-21,"New Week, New Ideas",Rannvijay Singh,Food,Ice-Pops,2021,2,1,1,1,Middle,Hyderabad,Telangana,0,7.5,0,0,0,no,0,yes,funded,45,5,900,Yes,Yes,100,15,0,0,667,5,no,No,0,20,3,0,20,3,0,20,3,0,20,3,0,0,0,0,0,0,0,0,0,0,20,3,0,Ashneer Grover,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
1,Menstrupedia,6,17,20-Dec-21,04-Feb-22,27-Dec-21,"New Week, New Ideas",Rannvijay Singh,Education,Menstrual Awareness Comic,2012,2,1,1,1,Middle,Ahmedabad,Gujarat,115,0,27,0,0,no,0,no,funded,50,10,500,Yes,Yes,50,20,0,0,250,1,no,No,0,50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
1,Hecoll,6,18,20-Dec-21,04-Feb-22,27-Dec-21,"New Week, New Ideas",Rannvijay Singh,Beauty/Fashion,Pollution Resistant Fabric - Healthy Cover For All,2019,1,0,1,0,Middle,Hyderabad,Telangana,107,0,0,0,0,no,0,no,funded,100,1,10000,No,No,0,0,0,0,0,0,no,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
1,RaisingSuperstars,7,19,20-Dec-21,04-Feb-22,28-Dec-21,A Never Give Up Spirit,Rannvijay Singh,Education,Child Development App,2020,2,1,1,1,Middle,Gurgaon,Haryana,1300,0,0,0,0,no,0,no,funded,100,2,5000,Yes,Yes,100,4,0,0,2500,2,no,No,0,0,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,50,2,0,Ashneer Grover,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
1,Torch-it,7,20,20-Dec-21,04-Feb-22,28-Dec-21,A Never Give Up Spirit,Rannvijay Singh,Education,Gadgets for visually impaired people,2018,1,1,0,0,Middle,Ahmedabad,Gujarat,260,1,0,0,0,no,0,yes,funded,75,1,7500,Yes,No,0,0,0,0,0,0,no,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
